Date	Open	High	Low	Close	Adj Close	Volume
8/8/2023	61.19	61.35	60.62	60.92	59.49	7956100
8/9/2023	60.91	61.63	60.75	61.06	59.62	7904100
8/10/2023	61.35	61.73	60.79	60.92	59.49	7870300
8/11/2023	60.84	61.2	60.69	61.17	59.73	8483400
8/14/2023	61.32	61.48	60.75	60.88	59.45	7176300
8/15/2023	60.69	60.9	60.37	60.47	59.05	7187400
8/16/2023	60.54	60.82	60.4	60.48	59.06	8372300
8/17/2023	60.58	61.02	60.45	60.61	59.18	12873500
8/18/2023	60.54	61.09	60.37	60.95	59.52	11082300
8/21/2023	60.86	60.93	60.32	60.43	59.01	8648500
8/22/2023	60.34	60.58	59.98	60.06	58.65	9412200
8/23/2023	60.2	60.44	60.16	60.27	58.85	7749500
8/24/2023	60.27	60.88	60.09	60.11	58.7	8955100
8/25/2023	60.41	60.57	60.01	60.39	58.97	7629200
8/28/2023	60.55	60.73	60.37	60.56	59.14	6254300
8/29/2023	60.56	60.63	60.15	60.5	59.08	8189600
8/30/2023	60.64	60.74	60.29	60.47	59.05	9447900
8/31/2023	60.3	60.47	59.81	59.83	58.42	14663500
9/1/2023	60	60.13	59.12	59.31	57.92	11257200
9/5/2023	59.25	59.32	58.67	58.82	57.44	12474600
9/6/2023	58.62	58.83	58.42	58.78	57.4	13923500
9/7/2023	58.95	59.16	58.3	58.33	56.96	17628600
9/8/2023	58.3	58.41	58.01	58.33	56.96	14312300
9/11/2023	58.4	58.99	58.23	58.88	57.5	14767400
9/12/2023	58.99	59	58.19	58.3	56.93	12292700
9/13/2023	58.4	58.68	58.34	58.44	57.07	12641400
9/14/2023	58.24	58.59	58.19	58.46	57.54	12311600
9/15/2023	58.41	58.64	57.75	57.94	57.03	55690500
9/18/2023	57.98	58.35	57.63	58.3	57.38	13617400
9/19/2023	58.26	58.39	57.92	58.18	57.26	11998900
9/20/2023	58.3	58.83	58.08	58.44	57.52	14766600
9/21/2023	58.37	58.42	57.42	57.54	56.63	15941800
9/22/2023	57.85	57.97	57.5	57.6	56.69	14644100
9/25/2023	57.4	57.49	56.74	57	56.1	12358800
9/26/2023	56.73	56.9	56.4	56.53	55.64	11194700
9/27/2023	56.42	56.53	55.68	55.95	55.07	13766300
9/28/2023	56.23	56.32	55.7	55.81	54.93	12484800
9/29/2023	56.14	56.27	55.62	55.98	55.1	12270000
10/2/2023	55.91	56.01	55.08	55.48	54.6	11792500
10/3/2023	55.16	55.43	54.78	54.88	54.01	13604200
10/4/2023	54.89	55.28	54.71	55.04	54.17	12100500
10/5/2023	54.74	54.95	52.24	52.38	51.55	29878100
10/6/2023	52.04	53.29	51.55	53.14	52.3	30292000
10/9/2023	52.96	53.15	52.11	52.88	52.05	15704700
10/10/2023	54.13	54.33	53.56	54.03	53.18	20909700
10/11/2023	54.22	54.28	53.02	53.71	52.86	21138900
10/12/2023	53.76	53.83	52.43	52.81	51.98	19330400
10/13/2023	52.74	53.42	52.64	52.89	52.06	14494600
10/16/2023	53.02	53.56	52.84	53.43	52.59	12816800
10/17/2023	53.31	54.1	53.21	54.07	53.22	16457200
10/18/2023	54.1	54.53	53.92	54.05	53.2	12809500
10/19/2023	54.16	54.76	53.86	54.35	53.49	16202200
10/20/2023	54.53	55.02	54.44	54.57	53.71	15674600
10/23/2023	54.38	54.89	54.05	54.08	53.23	21212700
10/24/2023	55.65	56.17	55.3	55.64	54.76	25290800
10/25/2023	55.76	56.22	55.56	56.12	55.23	16701000
10/26/2023	56.37	56.63	55.72	55.78	54.9	16228400
10/27/2023	55.55	56.14	55.1	55.24	54.37	13626500
10/30/2023	55.43	56.28	55.42	56.15	55.26	15014300
10/31/2023	56.57	56.72	56.15	56.49	55.6	16639400
11/1/2023	56.8	56.88	56.26	56.44	55.55	14110800
11/2/2023	56.5	57.15	56.36	57.09	56.19	13087200
11/3/2023	57.4	57.59	56.7	56.74	55.85	13956500
11/6/2023	56.78	57.28	56.74	56.97	56.07	12673200
11/7/2023	56.92	57.4	56.73	57.18	56.28	10449300
11/8/2023	57.32	57.47	56.92	57.09	56.19	13744000
11/9/2023	57.03	57.14	56.37	56.66	55.77	12021100
11/10/2023	56.87	56.93	56.06	56.72	55.83	11678900
11/13/2023	56.62	57.1	56.6	56.93	56.03	12798200
11/14/2023	57.02	57.24	56.81	57.1	56.2	12697100
11/15/2023	57.3	57.34	56.75	57.21	56.31	10201900
11/16/2023	57.25	57.53	56.81	57.15	56.25	16010400
11/17/2023	57.19	57.34	56.7	57.26	56.36	14475800
11/20/2023	57.05	57.58	56.96	57.4	56.49	13051000
11/21/2023	57.46	58.04	57.33	58.03	57.11	13891600
11/22/2023	58.26	58.54	58.13	58.42	57.5	11320600
11/24/2023	58.46	58.75	58.34	58.57	57.65	4816000
11/27/2023	58.54	58.69	58.27	58.46	57.54	16246500
11/28/2023	58.4	58.83	58.36	58.58	57.66	13739600
11/29/2023	58.58	58.67	58.1	58.23	57.31	11263600
11/30/2023	57.96	58.46	57.6	58.44	57.98	22727500
12/1/2023	58.27	58.69	58.24	58.64	58.17	15369600
12/4/2023	58.59	58.96	58.44	58.57	58.11	14942200
12/5/2023	58.55	58.83	58.42	58.66	58.19	11891500
12/6/2023	58.56	58.73	58.21	58.6	58.13	14868500
12/7/2023	58.67	58.89	58.39	58.74	58.27	11587900
12/8/2023	58.74	58.75	58.37	58.61	58.14	11177600
12/11/2023	58.83	59.09	58.5	59.04	58.57	14524800
12/12/2023	59.2	59.42	58.9	59.42	58.95	12899000
12/13/2023	59.45	60.02	59.26	59.93	59.45	16196800
12/14/2023	59.97	60.04	58.77	59.04	58.57	22478300
12/15/2023	58.83	59.17	57.8	58.6	58.13	65172300
12/18/2023	58.8	59.49	58.62	59.02	58.55	16717700
12/19/2023	59	59.2	58.64	58.83	58.36	14612200
12/20/2023	58.5	58.67	57.57	57.61	57.15	17701000
12/21/2023	57.85	58.07	57.47	57.99	57.53	11725100
12/22/2023	58.12	58.46	58.02	58.32	57.86	9028500
12/26/2023	58.06	58.71	58.06	58.56	58.1	6422500
12/27/2023	58.64	58.77	58.4	58.71	58.24	8560100
12/28/2023	58.65	58.87	58.53	58.75	58.28	8400100
12/29/2023	58.74	58.98	58.63	58.93	58.46	9241600
